Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
965007,"113.602336,22.858535",东莞,0,0,0
966622,"113.602336,22.863035",东莞,0,0,0
968237,"113.602336,22.867534",东莞,444,1790,439
969852,"113.602336,22.872034",东莞,3,2,0
948858,"113.607225,22.813539",东莞,0,0,0
947244,"113.612113,22.809039",东莞,0,0,0
948859,"113.612113,22.813539",东莞,0,0,0
950473,"113.607225,22.818038",东莞,0,0,0
952088,"113.607225,22.822538",东莞,0,0,0
950474,"113.612113,22.818038",东莞,0,0,0
952089,"113.612113,22.822538",东莞,75,160,45
947245,"113.617001,22.809039",东莞,56,13,24
948860,"113.617001,22.813539",东莞,1309,4632,431
947246,"113.621889,22.809039",东莞,0,0,0
948861,"113.621889,22.813539",东莞,18,12,34
950475,"113.617001,22.818038",东莞,0,0,0
952090,"113.617001,22.822538",东莞,1748,1996,684
950476,"113.621889,22.818038",东莞,0,0,0
952091,"113.621889,22.822538",东莞,0,0,0
953703,"113.607225,22.827037",东莞,36,127,96
953704,"113.612113,22.827037",东莞,1278,2263,573
955318,"113.607225,22.831537",东莞,0,0,0
956933,"113.607225,22.836037",东莞,0,0,0
955319,"113.612113,22.831537",东莞,784,195,326
956934,"113.612113,22.836037",东莞,1617,849,450
953705,"113.617001,22.827037",东莞,5414,4389,2889
953706,"113.621889,22.827037",东莞,0,0,0
955320,"113.617001,22.831537",东莞,0,0,0
956935,"113.617001,22.836037",东莞,2103,1890,1150
955321,"113.621889,22.831537",东莞,0,0,0
956936,"113.621889,22.836037",东莞,0,0,0
947247,"113.626778,22.809039",东莞,0,0,0
948862,"113.626778,22.813539",东莞,0,0,0
950477,"113.626778,22.818038",东莞,711,761,221
952092,"113.626778,22.822538",东莞,2902,3570,847
947248,"113.631666,22.809039",东莞,0,0,0
948863,"113.631666,22.813539",东莞,0,0,0
947249,"113.636554,22.809039",东莞,1611,20079,1050
948864,"113.636554,22.813539",东莞,503,1081,345
950478,"113.631666,22.818038",东莞,215,125,38
952093,"113.631666,22.822538",东莞,0,0,0
950479,"113.636554,22.818038",东莞,967,576,566
952094,"113.636554,22.822538",东莞,0,0,0
953707,"113.626778,22.827037",东莞,0,0,0
955322,"113.626778,22.831537",东莞,0,0,0
956937,"113.626778,22.836037",东莞,0,0,0
953708,"113.631666,22.827037",东莞,0,0,0
953709,"113.636554,22.827037",东莞,0,0,0
955323,"113.631666,22.831537",东莞,0,0,0
956938,"113.631666,22.836037",东莞,315,131,95
955324,"113.636554,22.831537",东莞,0,0,0
956939,"113.636554,22.836037",东莞,0,0,0
958548,"113.607225,22.840536",东莞,0,0,0
960163,"113.607225,22.845036",东莞,0,0,0
958549,"113.612113,22.840536",东莞,1102,1462,523
960164,"113.612113,22.845036",东莞,0,0,0
961778,"113.607225,22.849536",东莞,0,0,0
963393,"113.607225,22.854035",东莞,0,0,0
961779,"113.612113,22.849536",东莞,1539,1999,1063
963394,"113.612113,22.854035",东莞,4830,6049,2765
958550,"113.617001,22.840536",东莞,0,0,0
960165,"113.617001,22.845036",东莞,0,0,0
958551,"113.621889,22.840536",东莞,0,0,0
960166,"113.621889,22.845036",东莞,3495,1295,2456
961780,"113.617001,22.849536",东莞,1720,484,1423
963395,"113.617001,22.854035",东莞,2617,3370,1754
961781,"113.621889,22.849536",东莞,5790,2995,2865
963396,"113.621889,22.854035",东莞,2664,683,1030
965008,"113.607225,22.858535",东莞,0,0,0
966623,"113.607225,22.863035",东莞,933,2412,594
965009,"113.612113,22.858535",东莞,0,0,0
966624,"113.612113,22.863035",东莞,0,0,0
968238,"113.607225,22.867534",东莞,0,0,0
969853,"113.607225,22.872034",东莞,360,44,129
968239,"113.612113,22.867534",东莞,0,0,0
969854,"113.612113,22.872034",东莞,0,0,0
965010,"113.617001,22.858535",东莞,674,352,296
966625,"113.617001,22.863035",东莞,3873,43076,2104
965011,"113.621889,22.858535",东莞,0,0,0
966626,"113.621889,22.863035",东莞,43,4,34
